Country (Name),ASFIS species (Name),FAO major fishing area (Name),Environment (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Afghanistan,Cyprinids nei,Asia - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,50,E,50,E,50,E,50,E,50,E,50,E,50,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,150,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,400,E,400,E,400,E,400,E,400,E,400,E,900,E,900,E,1500,E,2100,E,2800,E,3430,E,4060,E,4710,E,5400,E,6100,E,6950,E,7900,E,7950,E
Afghanistan,Rainbow trout,Asia - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,10,E,10,E,10,E,10,E,10,E,10,E,10,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,50,E,50,E,50,E,50,E,50,E,50,E,150,E,150,E,150,E,150,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E
Albania,Bighead carp,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Common carp,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,E,10,E,10,,20,,48,,42,,62,,126,,76,E,23,E,13,E,13,E,14,E,34,E,45,E,4,,4,,2,,2,,3,,4,,6,,8,,6,,10,,10,,74,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Crucian carp,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,E,6,E,8,E,10,,10,,12,,5,,2,,7,,5,E,2,E,1,E,2,E,1,E,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,European seabass,Mediterranean and Black Sea,Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,87,,84,,142,,135,,135,,170,,400,,600,,700,,700,,800,,1000,,1000,,1020,
Albania,Freshwater fishes nei,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,6,,30,,20,,11,,1,,1,E,1,E,1,E,1,E,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Gilthead seabream,Mediterranean and Black Sea,Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,100,,200,,250,,400,,250,,370,,402,,343,,370,,467,,375,,1600,,1600,,1600,,1800,,1900,,2400,,2300,,2450,
Albania,Grass carp(=White amur),Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7,,6,E,2,E,1,E,1,E,1,E,0,N,0,N,0,N,0,N,1,,1,,2,,2,,3,,6,,3,,6,,5,,70,,70,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Kuruma prawn,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,8,,5,,2,,14,,0,...,0,...,0,...,0,...,0,...,3,,7,,8,,8,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Albania,Mediterranean mussel,Mediterranean and Black Sea,Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,E,10,E,10,E,50,E,100,E,200,E,414,E,842,E,906,,902,,1752,,1808,,3107,,1840,,4443,,662,,281,,274,E,293,E,300,,250,,80,,100,,200,,200,,150,,300,,860,,800,,860,,1360,,1360,,950,,1250,,1410,,1300,,950,,1000,,1200,,495,,1450,,430,,1108,,1071,
Albania,Mullets nei,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,1,,3,,1,,2,E,1,E,1,E,1,E,2,E,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Rainbow trout,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,E,8,E,5,E,10,E,10,E,20,,20,,22,,220,,245,,270,,203,,37,,20,,20,E,20,E,0,...,0,...,2,,8,,100,,100,,15,,350,,350,,350,,350,,217,,221,,254,,300,,500,,500,,500,,500,,500,,500,,600,,600,,1850,,1759,
Albania,Roaches nei,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,,3,E,2,E,1,E,1,E,1,E,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Silver carp,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,E,45,E,85,E,121,E,154,E,183,E,208,E,231,E,249,E,265,E,292,E,250,,250,,300,,272,,302,,346,,221,E,129,E,78,E,76,E,63,E,6,E,28,E,1,,4,,2,,2,,2,,4,,4,,5,,4,,7,,7,,160,,178,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Albania,Wuchang bream,Europe - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,1,E,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Algeria,Barbel,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,186.38,,269.62,,197.99,,167.52,,185.27,,179.05,,126,,130,E,130,E,78.57,,178.35,
Algeria,Bighead carp,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,121.81,
Algeria,Bleak,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10.04,,12,,6.89,,0,,0,...,0,...,0,...,0,...,1.8,
Algeria,Caramote prawn,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,1,,1,,2,,2,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0.08,,0.14,,0,...,0,,0,...,0,,0,,0,,0,...,0,...
Algeria,Common carp,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1026.52,
Algeria,Common sole,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,1,,1,,0,N,1,E,1,E,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0.84,,0.08,,0,...,0,...,0,,0,,0,,0,,0,,0,...,1.76,
Algeria,Crucian carp,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,201.44,
Algeria,Cyprinids nei,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15,,54,,79,,20,,19,,30,,17,,0,N,0,N,0,N,2,,3,E,3,E,3,E,1,,1,,1,E,2,E,2,E,7,E,6,E,6,E,0,...,0,N,1643.71,E,1014.39,E,716.78,E,1210.44,E,1460.21,E,1116.67,E,799.96,E,723.2,,750,E,790,E,571,,176.78,
Algeria,European eel,Africa - Inland waters,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,44,,34,,82,,69,,72,,53,,46,,22,,1,,0,N,22,,20,E,17,E,17,E,22,,15,,23,E,32,E,33,E,16,E,16,E,15,E,7,,15,,11.73,,14.2,,4.22,,0,,0.41,,0,,0,,0,,0,,0,,26.86,,27.69,
Algeria,European seabass,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,4,E,5,E,6,E,7,,5,E,2,,4,,3,E,6,E,5,E,10,E,10,E,10,E,0,N,0,N,0,N,0,N,0,N,3,E,3,E,3,E,0,N,1,,1.34,,14.69,,50.5,,85.31,,202.04,,0.2,,246.12,,94,,90,E,90,E,126.04,,14.7,
Algeria,Freshwater bream,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,34.12,,30.06,,10.91,,69.6,,0,...,0,...,0,...,0,...,10.01,
Algeria,Freshwater fishes nei,Africa - Inland waters,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,0,N,7,,0,N,0,N,13,,2,,0,N,15,E,2,E,3,E,3,E,3,E,0,,0,,0,,0,,0,,1,E,1,E,1,E,40,,23,,366.19,,257.35,,180.11,,145.82,,71.87,,121.61,,91.08,,57.03,,60,E,60,E,0,,0,...
Algeria,Gilthead seabream,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,N,0,N,0,N,0,N,0,N,2,,1,,0,N,1,E,1,E,0,N,0,N,0,N,8,,18,,26,E,32,E,34,E,1,E,1,E,1,E,0,N,0,,3.49,,28.33,,64.93,,109.18,,161.35,,348.64,,650.82,,270,,270,E,270,E,1756.02,,1600.22,
Algeria,Grass carp(=White amur),Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,14,,42,,122,,166,,252,,281,,46,,113,,180,E,278,,270,E,235,E,235,E,218,,184,,255,E,324,E,342,E,369,E,548,E,331,E,216,,316,,400,E,340,E,240,E,400,E,490,E,370,E,270,E,0,...,0,...,0,...,2045.01,,0,...
Algeria,Grooved carpet shell,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,20,,3,,10,E,16,,17,,15,E,15,E,22,,4,,8,E,16,E,14,E,2,E,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...
Algeria,Largemouth black bass,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8.1,,1.07,,2.19,,9.14,,15.72,,13.99,,5.53,,5,E,5,E,0.85,,1.44,
Algeria,Long-finned charr,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,103.39,
Algeria,Meagre,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,22.5,,1.57,,2,E,2,E,0,...,0,...
Algeria,Mediterranean mussel,Mediterranean and Black Sea,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,4,,4,,5,,5,,3,,3,,14,,32,,17,,27,E,10,,13,E,10,E,10,E,0,N,10,,13,E,16,E,17,E,17,E,10,E,10,E,16,,44,,4.58,,4.54,,3.69,,5.9,,3.2,,3.8,,31.11,,2.76,,3,E,3,E,130.76,,550.47,
Algeria,Mullets nei,Africa - Inland waters,Brackishwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,22,,25,,30,,36,,32,,20,,19,,18,,8,E,55,E,50,E,30,E,26,E,26,E,12,,18,,25,E,32,E,34,E,1,E,1,E,1,E,9,,6,,51.71,,24.95,,4.39,,5.53,,6.07,,0.35,,1.68,,1.1,,1,E,1,E,10.58,,40.86,
Algeria,North African catfish,Africa - Inland waters,Freshwater,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15,E,15,E,310.5,,238.28,
