"Country","Year","Production","GDP_per_capita","Gini_index","CO2_emissions","Population","Population_density","Percent_urban_population","Years_primary","Primary_GPI"
"Albania",1996,323,1633.642486,27,1970,3168033,115.6216423,39.473,4,0.973850012
"Albania",2002,860,2247.705088,31.7,3750,3051010,111.3507299,43.501,4,0.994340003
"Albania",2005,1473,2675.760999,30.6,4070,3011487,109.9082847,46.731,4,1.005360007
"Albania",2008,2000,3298.605602,30,4170,2947314,107.5662044,49.991,4,1.002490044
"Albania",2012,3450,3736.336637,29,4580,2900401,105.8540511,54.33,5,1.016010046
"Albania",2014,4000,3855.757468,34.6,5220,2889104,105.4417518,56.423,5,1.036820054
"Albania",2015,3495,3952.801215,32.9,5070,2880703,105.135146,57.434,5,1.031299949
"Albania",2016,4750,4090.363323,33.7,4930,2876101,104.9671898,58.421,5,1.035549998
"Albania",2017,4430,4249.79385,33.2,5600,2873457,104.8706934,59.383,5,1.032240033
"Algeria",1988,304,3128.335549,40.2,83948.631,24443472,10.26286328,50.511,6,0.82773
"Algeria",1995,369,2834.263395,35.3,73050,28757788,12.07427679,55.997,6,0.882990003
"Algeria",2011,2245.77,3956.893305,27.6,118140,36661438,15.39271205,68.236,5,0.938399971
"Angola",2008,190,4077.776844,42.7,25080,21695636,17.40245127,58.282,6,0.845690012
"Argentina",1980,90,10318.18299,40.8,108737.551,27896532,10.19353014,82.887,7,0.990549982
"Argentina",1986,270,9412.994813,42.8,104212.473,30698964,11.21755259,85.445,7,0.982379973
"Argentina",1987,353,9517.10861,45.3,114942.115,31184411,11.39493731,85.843,7,0.991949975
"Argentina",1991,350,8769.7504,46.8,105320,33079002,12.08723019,87.328,7,0.98496002
"Argentina",1996,1322,10430.68249,49.5,126560,35246376,12.87919932,88.366,7,0.98439002
"Argentina",1997,1314,11146.72103,49.1,127320,35657438,13.0294034,88.564,7,0.994459987
"Argentina",1998,1040,11445.56494,50.7,133170,36063451,13.17776255,88.759,6,0.985450029
"Argentina",1999,1218,10935.64459,49.8,134190,36467218,13.325301,88.952,6,0.996399999
"Argentina",2000,1784,10730.60822,51.1,131910,36870796,13.47277039,89.142,6,0.991039991
"Argentina",2001,1340,10146.10682,53.3,124870,37275644,13.62070384,89.329,6,0.992370009
"Argentina",2002,1457,8943.308002,53.8,117470,37681743,13.76909442,89.51,6,0.993120015
"Argentina",2003,1647,9629.844086,50.9,128360,38087866,13.91749376,89.686,6,0.992860019
"Argentina",2004,1848,10389.15127,48.4,141850,38491970,14.06515535,89.86,6,0.991110027
"Argentina",2005,2057,11192.17958,47.7,146320,38892924,14.21166592,90.031,6,0.990620017
"Argentina",2006,2528,11970.65539,46.3,155370,39289876,14.35671413,90.2,6,0.994090021
"Argentina",2007,2957,12919.23536,46.2,163630,39684303,14.5008397,90.366,6,0.997009993
